municipio;periodo;internacoes;periodo_data;media_permanencia;dias_permanencia;obitos;taxa_mortalidade;valor_total
354340 RIBEIRAO PRETO;2024/Jul;7149.0;2024-07-01;4.6;32593.0;388.0;5.43;18522607.9
354380 RINOPOLIS;2024/Jul;21.0;2024-07-01;3.8;79.0;2.0;9.52;10693.74
354390 RIO CLARO;2024/Jul;822.0;2024-07-01;6.8;5599.0;42.0;5.11;1611227.51
354400 RIO DAS PEDRAS;2024/Jul;76.0;2024-07-01;1.9;148.0;3.0;3.95;23755.06
354420 RIOLANDIA;2024/Jul;11.0;2024-07-01;1.8;20.0;1.0;9.09;3275.79
354425 ROSANA;2024/Jul;275.0;2024-07-01;10.3;2844.0;6.0;2.18;182406.01
354490 SALES OLIVEIRA;2024/Jul;28.0;2024-07-01;2.1;60.0;0.0;0.0;11737.53
354500 SALESOPOLIS;2024/Jul;55.0;2024-07-01;3.0;167.0;5.0;9.09;22430.62
354520 SALTO;2024/Jul;401.0;2024-07-01;3.9;1567.0;43.0;10.72;386057.64
354530 SALTO DE PIRAPORA;2024/Jul;250.0;2024-07-01;2.1;528.0;10.0;4.0;213097.2
354540 SALTO GRANDE;2024/Jul;30.0;2024-07-01;3.6;108.0;3.0;10.0;13172.37
354560 SANTA ADELIA;2024/Jul;64.0;2024-07-01;2.6;168.0;3.0;4.69;96580.75
354580 SANTA BARBARA D'OESTE;2024/Jul;695.0;2024-07-01;2.9;2011.0;30.0;4.32;876310.85
354630 SANTA CRUZ DAS PALMEIRAS;2024/Jul;96.0;2024-07-01;2.6;246.0;8.0;8.33;43812.31
354640 SANTA CRUZ DO RIO PARDO;2024/Jul;376.0;2024-07-01;3.3;1244.0;20.0;5.32;449593.05
354660 SANTA FE DO SUL;2024/Jul;274.0;2024-07-01;5.2;1435.0;20.0;7.3;344829.99
354680 SANTA ISABEL;2024/Jul;183.0;2024-07-01;5.4;986.0;14.0;7.65;235532.67
354730 SANTANA DE PARNAIBA;2024/Jul;294.0;2024-07-01;4.1;1220.0;19.0;6.46;106612.42
354750 SANTA RITA DO PASSA QUATRO;2024/Jul;107.0;2024-07-01;8.1;868.0;8.0;7.48;68460.5
354760 SANTA ROSA DE VITERBO;2024/Jul;87.0;2024-07-01;4.5;388.0;3.0;3.45;27159.93
354770 SANTO ANASTACIO;2024/Jul;139.0;2024-07-01;2.5;349.0;2.0;1.44;50342.24
354780 SANTO ANDRE;2024/Jul;4057.0;2024-07-01;4.8;19287.0;279.0;6.88;7589437.25
354790 SANTO ANTONIO DA ALEGRIA;2024/Jul;13.0;2024-07-01;2.5;32.0;0.0;0.0;6569.37
354850 SANTOS;2024/Jul;2867.0;2024-07-01;5.8;16616.0;145.0;5.06;6150638.16
354860 SAO BENTO DO SAPUCAI;2024/Jul;45.0;2024-07-01;3.9;175.0;3.0;6.67;20648.85
354870 SAO BERNARDO DO CAMPO;2024/Jul;2893.0;2024-07-01;6.5;18825.0;180.0;6.22;8775197.08
354880 SAO CAETANO DO SUL;2024/Jul;1061.0;2024-07-01;3.7;3902.0;78.0;7.35;1643494.5
354890 SAO CARLOS;2024/Jul;1612.0;2024-07-01;3.9;6301.0;93.0;5.77;2795786.4
354910 SAO JOAO DA BOA VISTA;2024/Jul;496.0;2024-07-01;4.6;2271.0;64.0;12.9;937675.36
354940 SAO JOAQUIM DA BARRA;2024/Jul;269.0;2024-07-01;3.8;1010.0;17.0;6.32;458198.35
354970 SAO JOSE DO RIO PARDO;2024/Jul;389.0;2024-07-01;3.1;1221.0;24.0;6.17;393224.38
354980 SAO JOSE DO RIO PRETO;2024/Jul;7096.0;2024-07-01;4.8;34063.0;315.0;4.44;22046155.6
354990 SAO JOSE DOS CAMPOS;2024/Jul;4551.0;2024-07-01;5.1;23012.0;298.0;6.55;10372242.98
355000 SAO LUIS DO PARAITINGA;2024/Jul;21.0;2024-07-01;5.3;112.0;4.0;19.05;7772.12
355010 SAO MANUEL;2024/Jul;105.0;2024-07-01;4.2;446.0;13.0;12.38;151203.91
355020 SAO MIGUEL ARCANJO;2024/Jul;130.0;2024-07-01;14.3;1864.0;5.0;3.85;62744.04
355030 SAO PAULO;2024/Jul;61129.0;2024-07-01;5.5;336785.0;3178.0;5.2;140506620.31
355040 SAO PEDRO;2024/Jul;305.0;2024-07-01;1.7;533.0;7.0;2.3;504320.15
355060 SAO ROQUE;2024/Jul;352.0;2024-07-01;4.4;1565.0;26.0;7.39;355727.7
355070 SAO SEBASTIAO;2024/Jul;354.0;2024-07-01;4.1;1456.0;11.0;3.11;355614.87
355080 SAO SEBASTIAO DA GRAMA;2024/Jul;49.0;2024-07-01;3.4;165.0;1.0;2.04;18472.74
355090 SAO SIMAO;2024/Jul;20.0;2024-07-01;6.0;119.0;2.0;10.0;11778.13
355100 SAO VICENTE;2024/Jul;970.0;2024-07-01;4.3;4186.0;55.0;5.67;975135.17
355150 SERRANA;2024/Jul;431.0;2024-07-01;4.0;1732.0;16.0;3.71;457212.44
355160 SERRA NEGRA;2024/Jul;119.0;2024-07-01;3.4;407.0;13.0;10.92;48127.28
355170 SERTAOZINHO;2024/Jul;516.0;2024-07-01;3.5;1831.0;24.0;4.65;836657.82
355200 SILVEIRAS;2024/Jul;4.0;2024-07-01;3.0;12.0;0.0;0.0;1467.86
