municipio;periodo;internacoes;periodo_data;media_permanencia;dias_permanencia;obitos;taxa_mortalidade;valor_total
350260 APARECIDA D'OESTE;2024/Nov;8.0;2024-11-01;2.6;21.0;0.0;0.0;3982.39
350270 APIAI;2024/Nov;223.0;2024-11-01;3.0;664.0;6.0;2.69;121432.45
350280 ARACATUBA;2024/Nov;1042.0;2024-11-01;6.6;6924.0;117.0;11.23;3504027.78
350310 ARANDU;2024/Nov;5.0;2024-11-01;4.8;24.0;0.0;0.0;2546.19
350320 ARARAQUARA;2024/Nov;1845.0;2024-11-01;3.4;6215.0;98.0;5.31;4029792.96
350330 ARARAS;2024/Nov;463.0;2024-11-01;4.6;2145.0;25.0;5.4;1051832.14
350340 AREALVA;2024/Nov;9.0;2024-11-01;2.9;26.0;2.0;22.22;1515.67
350390 ARUJA;2024/Nov;129.0;2024-11-01;2.7;342.0;8.0;6.2;61711.45
350400 ASSIS;2024/Nov;817.0;2024-11-01;4.2;3428.0;46.0;5.63;1400915.22
350410 ATIBAIA;2024/Nov;341.0;2024-11-01;5.2;1778.0;30.0;8.8;338516.66
350420 AURIFLAMA;2024/Nov;216.0;2024-11-01;1.8;381.0;1.0;0.46;184250.35
350450 AVARE;2024/Nov;566.0;2024-11-01;4.4;2464.0;33.0;5.83;915727.3
350520 BARIRI;2024/Nov;98.0;2024-11-01;2.5;243.0;4.0;4.08;37492.7
350530 BARRA BONITA;2024/Nov;182.0;2024-11-01;2.1;384.0;3.0;1.65;110500.49
350550 BARRETOS;2024/Nov;2412.0;2024-11-01;4.8;11679.0;171.0;7.09;7648473.68
350570 BARUERI;2024/Nov;2798.0;2024-11-01;4.1;11367.0;90.0;3.22;2264255.78
350580 BASTOS;2024/Nov;117.0;2024-11-01;2.0;235.0;0.0;0.0;46064.46
350590 BATATAIS;2024/Nov;301.0;2024-11-01;3.1;947.0;11.0;3.65;317668.25
350600 BAURU;2024/Nov;3237.0;2024-11-01;5.5;17756.0;134.0;4.14;6142420.16
350610 BEBEDOURO;2024/Nov;702.0;2024-11-01;3.0;2115.0;18.0;2.56;618380.75
350630 BERNARDINO DE CAMPOS;2024/Nov;61.0;2024-11-01;4.3;262.0;7.0;11.48;37133.46
350635 BERTIOGA;2024/Nov;252.0;2024-11-01;3.4;854.0;16.0;6.35;110217.43
350640 BILAC;2024/Nov;22.0;2024-11-01;3.7;81.0;5.0;22.73;9602.17
350650 BIRIGUI;2024/Nov;378.0;2024-11-01;4.4;1676.0;20.0;5.29;396538.3
350670 BOA ESPERANCA DO SUL;2024/Nov;9.0;2024-11-01;2.1;19.0;1.0;11.11;2157.18
350680 BOCAINA;2024/Nov;16.0;2024-11-01;2.6;41.0;1.0;6.25;7563.76
350700 BOITUVA;2024/Nov;205.0;2024-11-01;3.1;645.0;7.0;3.41;110793.3
350710 BOM JESUS DOS PERDOES;2024/Nov;21.0;2024-11-01;6.4;134.0;1.0;4.76;7582.73
350740 BORBOREMA;2024/Nov;68.0;2024-11-01;3.1;208.0;2.0;2.94;32917.71
350750 BOTUCATU;2024/Nov;2166.0;2024-11-01;6.3;13545.0;113.0;5.22;7230758.26
350760 BRAGANCA PAULISTA;2024/Nov;1489.0;2024-11-01;3.5;5270.0;82.0;5.51;2974571.04
350790 BROTAS;2024/Nov;55.0;2024-11-01;5.9;326.0;2.0;3.64;34227.46
350810 BURITAMA;2024/Nov;60.0;2024-11-01;4.9;293.0;5.0;8.33;33938.81
350840 CABREUVA;2024/Nov;54.0;2024-11-01;4.4;236.0;3.0;5.56;23691.4
350850 CACAPAVA;2024/Nov;256.0;2024-11-01;4.5;1143.0;18.0;7.03;303908.68
350870 CACONDE;2024/Nov;92.0;2024-11-01;2.3;208.0;1.0;1.09;160703.33
350880 CAFELANDIA;2024/Nov;52.0;2024-11-01;2.7;139.0;0.0;0.0;22392.36
350900 CAIEIRAS;2024/Nov;372.0;2024-11-01;2.6;968.0;2.0;0.54;151694.32
350920 CAJAMAR;2024/Nov;226.0;2024-11-01;4.6;1044.0;20.0;8.85;101288.03
350930 CAJOBI;2024/Nov;25.0;2024-11-01;2.5;62.0;0.0;0.0;9990.38
350940 CAJURU;2024/Nov;265.0;2024-11-01;3.6;953.0;10.0;3.77;142034.71
350950 CAMPINAS;2024/Nov;7027.0;2024-11-01;5.4;37787.0;368.0;5.24;19546825.99
350960 CAMPO LIMPO PAULISTA;2024/Nov;381.0;2024-11-01;3.6;1360.0;18.0;4.72;421675.89
350970 CAMPOS DO JORDAO;2024/Nov;203.0;2024-11-01;20.7;4204.0;8.0;3.94;406827.13
351000 CANDIDO MOTA;2024/Nov;182.0;2024-11-01;3.1;559.0;8.0;4.4;157808.14
351020 CAPAO BONITO;2024/Nov;211.0;2024-11-01;4.0;852.0;15.0;7.11;211651.02
351040 CAPIVARI;2024/Nov;218.0;2024-11-01;3.3;712.0;13.0;5.96;198308.09
351050 CARAGUATATUBA;2024/Nov;1758.0;2024-11-01;3.7;6517.0;61.0;3.47;2315071.26
351060 CARAPICUIBA;2024/Nov;1608.0;2024-11-01;3.4;5509.0;56.0;3.48;1526387.42
351070 CARDOSO;2024/Nov;41.0;2024-11-01;3.6;147.0;0.0;0.0;15355.96
351080 CASA BRANCA;2024/Nov;179.0;2024-11-01;9.4;1678.0;7.0;3.91;128986.47
351100 CASTILHO;2024/Nov;35.0;2024-11-01;4.2;148.0;2.0;5.71;14145.04
351110 CATANDUVA;2024/Nov;1499.0;2024-11-01;7.4;11067.0;92.0;6.14;3233064.65
351140 CERQUEIRA CESAR;2024/Nov;135.0;2024-11-01;3.1;422.0;5.0;3.7;64028.57
351150 CERQUILHO;2024/Nov;42.0;2024-11-01;3.9;164.0;5.0;11.9;15527.65
351160 CESARIO LANGE;2024/Nov;27.0;2024-11-01;5.4;146.0;5.0;18.52;17256.15
351170 CHARQUEADA;2024/Nov;22.0;2024-11-01;4.8;106.0;3.0;13.64;8607.74
351190 CLEMENTINA;2024/Nov;18.0;2024-11-01;5.7;102.0;1.0;5.56;7852.81
351200 COLINA;2024/Nov;77.0;2024-11-01;3.9;299.0;4.0;5.19;137493.4
351210 COLOMBIA;2024/Nov;1.0;2024-11-01;7.0;7.0;0.0;0.0;321.68
351220 CONCHAL;2024/Nov;189.0;2024-11-01;1.5;277.0;2.0;1.06;99096.77
351230 CONCHAS;2024/Nov;19.0;2024-11-01;3.2;60.0;2.0;10.53;6732.18
351280 COSMOPOLIS;2024/Nov;129.0;2024-11-01;3.2;413.0;13.0;10.08;102175.24
351300 COTIA;2024/Nov;1178.0;2024-11-01;4.2;4985.0;66.0;5.6;1313114.41
351310 CRAVINHOS;2024/Nov;0.0;2024-11-01;0.0;0.0;0.0;0.0;0.0
351340 CRUZEIRO;2024/Nov;451.0;2024-11-01;5.6;2523.0;33.0;7.32;626623.92
351350 CUBATAO;2024/Nov;505.0;2024-11-01;5.9;2984.0;22.0;4.36;621594.16
351360 CUNHA;2024/Nov;100.0;2024-11-01;4.0;399.0;8.0;8.0;54710.73
351370 DESCALVADO;2024/Nov;174.0;2024-11-01;1.9;333.0;3.0;1.72;95320.33
351380 DIADEMA;2024/Nov;1834.0;2024-11-01;5.7;10440.0;83.0;4.53;2581845.8
351390 DIVINOLANDIA;2024/Nov;401.0;2024-11-01;0.7;261.0;2.0;0.5;335348.94
351410 DOIS CORREGOS;2024/Nov;93.0;2024-11-01;4.0;369.0;7.0;7.53;50714.35
351440 DRACENA;2024/Nov;286.0;2024-11-01;5.3;1518.0;38.0;13.29;506555.34
351450 DUARTINA;2024/Nov;125.0;2024-11-01;2.1;257.0;5.0;4.0;44735.25
351500 EMBU DAS ARTES;2024/Nov;344.0;2024-11-01;3.1;1051.0;19.0;5.52;159559.96
351510 EMBU-GUACU;2024/Nov;85.0;2024-11-01;1.1;97.0;9.0;10.59;35998.68
351518 ESPIRITO SANTO DO PINHAL;2024/Nov;317.0;2024-11-01;23.4;7404.0;17.0;5.36;725723.0
351520 ESTRELA D'OESTE;2024/Nov;81.0;2024-11-01;3.0;244.0;2.0;2.47;30512.9
351540 FARTURA;2024/Nov;50.0;2024-11-01;3.5;174.0;2.0;4.0;18062.73
351550 FERNANDOPOLIS;2024/Nov;490.0;2024-11-01;3.7;1811.0;22.0;4.49;493275.27
351570 FERRAZ DE VASCONCELOS;2024/Nov;530.0;2024-11-01;3.4;1811.0;19.0;3.58;320362.53
351600 FLORIDA PAULISTA;2024/Nov;59.0;2024-11-01;2.8;167.0;1.0;1.69;25259.61
351620 FRANCA;2024/Nov;1860.0;2024-11-01;5.4;10125.0;109.0;5.86;4308776.55
351630 FRANCISCO MORATO;2024/Nov;1000.0;2024-11-01;4.3;4305.0;41.0;4.1;908858.62
351640 FRANCO DA ROCHA;2024/Nov;713.0;2024-11-01;8.4;6014.0;43.0;6.03;856732.54
351660 GALIA;2024/Nov;3.0;2024-11-01;4.3;13.0;0.0;0.0;1607.9
351670 GARCA;2024/Nov;264.0;2024-11-01;15.8;4166.0;17.0;6.44;484867.2
351690 GENERAL SALGADO;2024/Nov;37.0;2024-11-01;4.4;161.0;0.0;0.0;17925.93
351700 GETULINA;2024/Nov;14.0;2024-11-01;4.6;65.0;0.0;0.0;4063.74
351740 GUAIRA;2024/Nov;229.0;2024-11-01;2.6;605.0;4.0;1.75;299060.44
351760 GUAPIARA;2024/Nov;20.0;2024-11-01;2.9;57.0;4.0;20.0;8008.83
351770 GUARA;2024/Nov;76.0;2024-11-01;2.4;184.0;2.0;2.63;30289.08
351780 GUARACAI;2024/Nov;60.0;2024-11-01;3.8;228.0;0.0;0.0;25722.8
351820 GUARARAPES;2024/Nov;148.0;2024-11-01;4.7;693.0;8.0;5.41;69337.8
351830 GUARAREMA;2024/Nov;99.0;2024-11-01;5.0;497.0;6.0;6.06;44067.86
351840 GUARATINGUETA;2024/Nov;584.0;2024-11-01;4.0;2342.0;38.0;6.51;850950.26
351860 GUARIBA;2024/Nov;98.0;2024-11-01;2.7;269.0;4.0;4.08;47522.78
351870 GUARUJA;2024/Nov;1374.0;2024-11-01;5.0;6827.0;97.0;7.06;2090529.64
351880 GUARULHOS;2024/Nov;4467.0;2024-11-01;5.3;23630.0;277.0;6.2;5672332.69
351900 HERCULANDIA;2024/Nov;62.0;2024-11-01;3.3;202.0;0.0;0.0;21351.8
351907 HORTOLANDIA;2024/Nov;411.0;2024-11-01;4.0;1640.0;28.0;6.81;383932.62
351910 IACANGA;2024/Nov;49.0;2024-11-01;2.6;129.0;2.0;4.08;11309.03
351930 IBATE;2024/Nov;66.0;2024-11-01;1.9;124.0;2.0;3.03;33263.57
351940 IBIRA;2024/Nov;40.0;2024-11-01;3.4;136.0;2.0;5.0;15209.25
351960 IBITINGA;2024/Nov;312.0;2024-11-01;3.0;922.0;19.0;6.09;266406.97
351970 IBIUNA;2024/Nov;353.0;2024-11-01;3.3;1166.0;9.0;2.55;190940.89
351990 IEPE;2024/Nov;41.0;2024-11-01;3.9;161.0;1.0;2.44;17241.55
352010 IGARAPAVA;2024/Nov;88.0;2024-11-01;5.8;511.0;3.0;3.41;49206.79
352040 ILHABELA;2024/Nov;260.0;2024-11-01;2.6;677.0;6.0;2.31;200009.99
352044 ILHA SOLTEIRA;2024/Nov;181.0;2024-11-01;4.5;822.0;12.0;6.63;243364.3
352050 INDAIATUBA;2024/Nov;1762.0;2024-11-01;3.5;6226.0;45.0;2.55;2162053.52
352070 INDIAPORA;2024/Nov;33.0;2024-11-01;3.6;120.0;1.0;3.03;11831.35
352090 IPAUSSU;2024/Nov;40.0;2024-11-01;2.6;103.0;5.0;12.5;17322.21
352130 IPUA;2024/Nov;69.0;2024-11-01;3.8;259.0;0.0;0.0;34003.18
352170 ITABERA;2024/Nov;77.0;2024-11-01;3.2;249.0;4.0;5.19;36630.02
352180 ITAI;2024/Nov;61.0;2024-11-01;4.1;251.0;0.0;0.0;27019.13
352190 ITAJOBI;2024/Nov;52.0;2024-11-01;5.3;278.0;3.0;5.77;17562.06
352210 ITANHAEM;2024/Nov;1032.0;2024-11-01;4.0;4106.0;59.0;5.72;1252233.53
352220 ITAPECERICA DA SERRA;2024/Nov;1348.0;2024-11-01;3.9;5294.0;77.0;5.71;1355539.68
352230 ITAPETININGA;2024/Nov;770.0;2024-11-01;6.2;4802.0;72.0;9.35;869432.77
352240 ITAPEVA;2024/Nov;751.0;2024-11-01;4.4;3277.0;53.0;7.06;1175269.33
352250 ITAPEVI;2024/Nov;1278.0;2024-11-01;4.6;5877.0;38.0;2.97;1329296.4
352260 ITAPIRA;2024/Nov;511.0;2024-11-01;25.9;13230.0;23.0;4.5;1175220.73
352270 ITAPOLIS;2024/Nov;213.0;2024-11-01;3.3;710.0;8.0;3.76;233682.78
352280 ITAPORANGA;2024/Nov;80.0;2024-11-01;2.7;214.0;4.0;5.0;31848.29
352290 ITAPUI;2024/Nov;14.0;2024-11-01;6.4;89.0;1.0;7.14;6177.94
352310 ITAQUAQUECETUBA;2024/Nov;1306.0;2024-11-01;5.9;7654.0;95.0;7.27;1971403.47
352320 ITARARE;2024/Nov;559.0;2024-11-01;0.9;505.0;18.0;3.22;344823.65
352340 ITATIBA;2024/Nov;490.0;2024-11-01;3.3;1621.0;14.0;2.86;473683.31
352350 ITATINGA;2024/Nov;20.0;2024-11-01;3.8;76.0;3.0;15.0;5075.31
352360 ITIRAPINA;2024/Nov;7.0;2024-11-01;4.0;28.0;0.0;0.0;2430.48
352390 ITU;2024/Nov;719.0;2024-11-01;3.8;2741.0;31.0;4.31;953584.54
352400 ITUPEVA;2024/Nov;180.0;2024-11-01;2.7;479.0;1.0;0.56;75877.79
352410 ITUVERAVA;2024/Nov;282.0;2024-11-01;4.3;1200.0;19.0;6.74;454010.15
352420 JABORANDI;2024/Nov;7.0;2024-11-01;3.6;25.0;1.0;14.29;3741.82
352430 JABOTICABAL;2024/Nov;177.0;2024-11-01;3.9;695.0;13.0;7.34;193920.45
352440 JACAREI;2024/Nov;1064.0;2024-11-01;4.1;4412.0;58.0;5.45;1521189.83
352450 JACI;2024/Nov;92.0;2024-11-01;108.0;9940.0;2.0;2.17;778536.48
352470 JAGUARIUNA;2024/Nov;273.0;2024-11-01;4.1;1131.0;20.0;7.33;452028.89
352480 JALES;2024/Nov;624.0;2024-11-01;3.2;2027.0;43.0;6.89;1132017.4
352520 JARINU;2024/Nov;55.0;2024-11-01;3.4;188.0;5.0;9.09;13855.19
352530 JAU;2024/Nov;2214.0;2024-11-01;4.6;10212.0;135.0;6.1;5899318.72
352550 JOANOPOLIS;2024/Nov;15.0;2024-11-01;5.4;81.0;3.0;20.0;5227.79
352570 JOSE BONIFACIO;2024/Nov;105.0;2024-11-01;4.4;462.0;5.0;4.76;53628.69
352590 JUNDIAI;2024/Nov;3657.0;2024-11-01;4.5;16351.0;117.0;3.2;4595392.37
352600 JUNQUEIROPOLIS;2024/Nov;113.0;2024-11-01;4.8;548.0;9.0;7.96;37280.41
352640 LARANJAL PAULISTA;2024/Nov;117.0;2024-11-01;4.0;469.0;9.0;7.69;57074.56
352670 LEME;2024/Nov;440.0;2024-11-01;3.5;1540.0;25.0;5.68;378749.83
352680 LENCOIS PAULISTA;2024/Nov;207.0;2024-11-01;4.0;820.0;11.0;5.31;298762.49
352690 LIMEIRA;2024/Nov;1298.0;2024-11-01;4.2;5405.0;70.0;5.39;3189980.57
352710 LINS;2024/Nov;490.0;2024-11-01;8.2;4032.0;34.0;6.94;643619.56
352720 LORENA;2024/Nov;389.0;2024-11-01;5.4;2087.0;17.0;4.37;648826.37
352730 LOUVEIRA;2024/Nov;206.0;2024-11-01;2.2;450.0;1.0;0.49;125866.18
352740 LUCELIA;2024/Nov;43.0;2024-11-01;4.1;176.0;4.0;9.3;27281.97
352800 MACATUBA;2024/Nov;13.0;2024-11-01;2.5;32.0;0.0;0.0;6535.47
352810 MACAUBAL;2024/Nov;7.0;2024-11-01;3.3;23.0;1.0;14.29;2467.5
352850 MAIRIPORA;2024/Nov;282.0;2024-11-01;2.7;769.0;13.0;4.61;103899.15
352880 MARACAI;2024/Nov;70.0;2024-11-01;3.7;257.0;2.0;2.86;28237.32
352900 MARILIA;2024/Nov;2300.0;2024-11-01;5.6;12937.0;123.0;5.35;5390842.44
352920 MARTINOPOLIS;2024/Nov;196.0;2024-11-01;2.4;468.0;12.0;6.12;100876.94
352930 MATAO;2024/Nov;454.0;2024-11-01;4.7;2129.0;32.0;7.05;1547150.9
352940 MAUA;2024/Nov;1037.0;2024-11-01;5.4;5615.0;60.0;5.79;1276747.36
352970 MIGUELOPOLIS;2024/Nov;78.0;2024-11-01;4.6;358.0;0.0;0.0;31825.4
353010 MIRANDOPOLIS;2024/Nov;257.0;2024-11-01;4.2;1084.0;21.0;8.17;256838.6
353030 MIRASSOL;2024/Nov;151.0;2024-11-01;1.7;256.0;5.0;3.31;80617.69
353050 MOCOCA;2024/Nov;416.0;2024-11-01;3.6;1503.0;29.0;6.97;445416.35
353060 MOGI DAS CRUZES;2024/Nov;2840.0;2024-11-01;5.0;14199.0;156.0;5.49;4644835.45
353070 MOGI GUACU;2024/Nov;851.0;2024-11-01;4.4;3723.0;37.0;4.35;1371175.27
353080 MOGI MIRIM;2024/Nov;347.0;2024-11-01;4.5;1547.0;31.0;8.93;908341.78
353110 MONGAGUA;2024/Nov;64.0;2024-11-01;3.5;226.0;2.0;3.13;15229.16
353130 MONTE ALTO;2024/Nov;210.0;2024-11-01;5.3;1116.0;16.0;7.62;462240.33
353140 MONTE APRAZIVEL;2024/Nov;177.0;2024-11-01;2.3;411.0;1.0;0.56;91801.98
353150 MONTE AZUL PAULISTA;2024/Nov;106.0;2024-11-01;1.7;180.0;2.0;1.89;318535.02
353180 MONTE MOR;2024/Nov;89.0;2024-11-01;3.1;275.0;6.0;6.74;42891.37
353190 MORRO AGUDO;2024/Nov;102.0;2024-11-01;2.8;290.0;5.0;4.9;117510.61
353200 MORUNGABA;2024/Nov;9.0;2024-11-01;2.9;26.0;1.0;11.11;4549.44
353240 NAZARE PAULISTA;2024/Nov;57.0;2024-11-01;3.7;213.0;5.0;8.77;24515.86
353250 NEVES PAULISTA;2024/Nov;3.0;2024-11-01;2.3;7.0;0.0;0.0;1570.34
353260 NHANDEARA;2024/Nov;155.0;2024-11-01;2.6;409.0;5.0;3.23;98785.17
353290 NOVA EUROPA;2024/Nov;22.0;2024-11-01;4.8;105.0;1.0;4.55;6373.92
353300 NOVA GRANADA;2024/Nov;101.0;2024-11-01;3.2;322.0;2.0;1.98;44739.73
353340 NOVA ODESSA;2024/Nov;92.0;2024-11-01;5.2;479.0;4.0;4.35;40532.64
353350 NOVO HORIZONTE;2024/Nov;188.0;2024-11-01;2.6;495.0;7.0;3.72;186430.38
353390 OLIMPIA;2024/Nov;314.0;2024-11-01;4.1;1303.0;14.0;4.46;295531.77
353430 ORLANDIA;2024/Nov;200.0;2024-11-01;1.3;259.0;6.0;3.0;86592.01
353440 OSASCO;2024/Nov;2310.0;2024-11-01;5.9;13720.0;167.0;7.23;3044843.5
353460 OSVALDO CRUZ;2024/Nov;209.0;2024-11-01;3.3;689.0;14.0;6.7;105521.58
353470 OURINHOS;2024/Nov;984.0;2024-11-01;3.7;3643.0;68.0;6.91;1643267.92
353475 OUROESTE;2024/Nov;38.0;2024-11-01;3.6;135.0;1.0;2.63;15901.21
353520 PALMEIRA D'OESTE;2024/Nov;51.0;2024-11-01;2.8;144.0;1.0;1.96;15698.36
353530 PALMITAL;2024/Nov;155.0;2024-11-01;2.6;399.0;6.0;3.87;86496.68
353550 PARAGUACU PAULISTA;2024/Nov;562.0;2024-11-01;2.1;1163.0;18.0;3.2;536174.7
353580 PARANAPANEMA;2024/Nov;60.0;2024-11-01;3.5;208.0;1.0;1.67;24769.06
353600 PARAPUA;2024/Nov;0.0;2024-11-01;0.0;0.0;0.0;0.0;0.0
353620 PARIQUERA-ACU;2024/Nov;801.0;2024-11-01;4.1;3245.0;50.0;6.24;1127081.48
353630 PATROCINIO PAULISTA;2024/Nov;58.0;2024-11-01;3.8;222.0;2.0;3.45;34661.7
353650 PAULINIA;2024/Nov;710.0;2024-11-01;3.4;2448.0;35.0;4.93;547355.83
353660 PAULO DE FARIA;2024/Nov;7.0;2024-11-01;4.1;29.0;0.0;0.0;1616.81
353670 PEDERNEIRAS;2024/Nov;156.0;2024-11-01;5.3;833.0;12.0;7.69;225024.19
353700 PEDREGULHO;2024/Nov;79.0;2024-11-01;2.4;187.0;1.0;1.27;31254.32
353710 PEDREIRA;2024/Nov;69.0;2024-11-01;3.1;213.0;5.0;7.25;41399.77
353730 PENAPOLIS;2024/Nov;457.0;2024-11-01;7.6;3496.0;35.0;7.66;511905.66
353740 PEREIRA BARRETO;2024/Nov;68.0;2024-11-01;2.8;193.0;7.0;10.29;30640.42
353780 PIEDADE;2024/Nov;231.0;2024-11-01;2.9;676.0;14.0;6.06;102198.96
353790 PILAR DO SUL;2024/Nov;59.0;2024-11-01;2.7;159.0;1.0;1.69;24890.25
353800 PINDAMONHANGABA;2024/Nov;597.0;2024-11-01;5.4;3219.0;24.0;4.02;838737.06
353860 PIRACAIA;2024/Nov;56.0;2024-11-01;3.3;183.0;5.0;8.93;24500.05
353870 PIRACICABA;2024/Nov;3289.0;2024-11-01;3.0;9784.0;125.0;3.8;6510645.27
353880 PIRAJU;2024/Nov;156.0;2024-11-01;3.4;535.0;9.0;5.77;75557.06
353890 PIRAJUI;2024/Nov;145.0;2024-11-01;4.8;699.0;8.0;5.52;117903.42
353900 PIRANGI;2024/Nov;73.0;2024-11-01;2.2;159.0;2.0;2.74;39154.03
353930 PIRASSUNUNGA;2024/Nov;228.0;2024-11-01;4.5;1029.0;17.0;7.46;289295.53
353940 PIRATININGA;2024/Nov;10.0;2024-11-01;3.8;38.0;1.0;10.0;3212.65
353950 PITANGUEIRAS;2024/Nov;127.0;2024-11-01;2.8;352.0;4.0;3.15;53556.64
354000 POMPEIA;2024/Nov;74.0;2024-11-01;2.2;163.0;6.0;8.11;33123.52
354020 PONTAL;2024/Nov;134.0;2024-11-01;1.7;229.0;1.0;0.75;74781.57
354040 POPULINA;2024/Nov;17.0;2024-11-01;4.5;76.0;0.0;0.0;7549.55
354060 PORTO FELIZ;2024/Nov;338.0;2024-11-01;2.6;880.0;11.0;3.25;267398.97
354070 PORTO FERREIRA;2024/Nov;168.0;2024-11-01;3.2;541.0;7.0;4.17;183870.67
354080 POTIRENDABA;2024/Nov;96.0;2024-11-01;2.4;227.0;0.0;0.0;34383.25
354100 PRAIA GRANDE;2024/Nov;755.0;2024-11-01;5.6;4258.0;47.0;6.23;955386.1
354120 PRESIDENTE BERNARDES;2024/Nov;114.0;2024-11-01;2.2;249.0;2.0;1.75;30454.55
354130 PRESIDENTE EPITACIO;2024/Nov;240.0;2024-11-01;3.6;872.0;7.0;2.92;102430.31
354140 PRESIDENTE PRUDENTE;2024/Nov;3521.0;2024-11-01;6.0;21136.0;166.0;4.71;6208016.15
354150 PRESIDENTE VENCESLAU;2024/Nov;248.0;2024-11-01;3.6;893.0;17.0;6.85;254799.3
354160 PROMISSAO;2024/Nov;333.0;2024-11-01;3.5;1152.0;18.0;5.41;310601.45
354190 QUELUZ;2024/Nov;12.0;2024-11-01;5.1;61.0;2.0;16.67;5656.16
354220 RANCHARIA;2024/Nov;305.0;2024-11-01;3.0;908.0;25.0;8.2;388548.92
354240 REGENTE FEIJO;2024/Nov;71.0;2024-11-01;2.5;179.0;3.0;4.23;22034.01
354260 REGISTRO;2024/Nov;887.0;2024-11-01;3.2;2856.0;15.0;1.69;940305.03
354290 RIBEIRAO BONITO;2024/Nov;14.0;2024-11-01;3.6;51.0;0.0;0.0;5744.04
354300 RIBEIRAO BRANCO;2024/Nov;33.0;2024-11-01;2.8;92.0;3.0;9.09;10862.02
354330 RIBEIRAO PIRES;2024/Nov;144.0;2024-11-01;6.5;931.0;13.0;9.03;96507.2
354340 RIBEIRAO PRETO;2024/Nov;7149.0;2024-11-01;4.3;30912.0;308.0;4.31;16642968.87
354380 RINOPOLIS;2024/Nov;25.0;2024-11-01;5.2;130.0;3.0;12.0;11276.72
354390 RIO CLARO;2024/Nov;838.0;2024-11-01;6.6;5515.0;45.0;5.37;1359679.34
354400 RIO DAS PEDRAS;2024/Nov;72.0;2024-11-01;1.8;128.0;3.0;4.17;20217.88
354420 RIOLANDIA;2024/Nov;11.0;2024-11-01;4.6;51.0;1.0;9.09;4062.12
354425 ROSANA;2024/Nov;247.0;2024-11-01;3.2;790.0;4.0;1.62;116318.79
354490 SALES OLIVEIRA;2024/Nov;20.0;2024-11-01;1.4;27.0;0.0;0.0;7580.33
354500 SALESOPOLIS;2024/Nov;35.0;2024-11-01;3.1;107.0;3.0;8.57;9521.63
354520 SALTO;2024/Nov;362.0;2024-11-01;3.4;1220.0;22.0;6.08;262565.12
354530 SALTO DE PIRAPORA;2024/Nov;147.0;2024-11-01;2.3;335.0;6.0;4.08;61425.89
354540 SALTO GRANDE;2024/Nov;32.0;2024-11-01;3.6;115.0;6.0;18.75;11417.28
354560 SANTA ADELIA;2024/Nov;66.0;2024-11-01;3.3;221.0;3.0;4.55;44051.76
354580 SANTA BARBARA D'OESTE;2024/Nov;651.0;2024-11-01;3.0;1960.0;35.0;5.38;821160.74
354630 SANTA CRUZ DAS PALMEIRAS;2024/Nov;106.0;2024-11-01;2.0;212.0;2.0;1.89;49069.42
354640 SANTA CRUZ DO RIO PARDO;2024/Nov;336.0;2024-11-01;3.6;1218.0;21.0;6.25;421966.71
354660 SANTA FE DO SUL;2024/Nov;253.0;2024-11-01;5.0;1253.0;9.0;3.56;267391.92
354680 SANTA ISABEL;2024/Nov;162.0;2024-11-01;4.9;786.0;7.0;4.32;205150.16
354730 SANTANA DE PARNAIBA;2024/Nov;322.0;2024-11-01;3.9;1266.0;9.0;2.8;113098.28
354750 SANTA RITA DO PASSA QUATRO;2024/Nov;129.0;2024-11-01;11.6;1492.0;6.0;4.65;96291.47
354760 SANTA ROSA DE VITERBO;2024/Nov;159.0;2024-11-01;2.4;383.0;4.0;2.52;82237.32
354770 SANTO ANASTACIO;2024/Nov;123.0;2024-11-01;2.8;340.0;3.0;2.44;39745.74
354780 SANTO ANDRE;2024/Nov;3798.0;2024-11-01;5.0;18849.0;272.0;7.16;6866579.52
354790 SANTO ANTONIO DA ALEGRIA;2024/Nov;8.0;2024-11-01;3.1;25.0;0.0;0.0;2594.63
354850 SANTOS;2024/Nov;2696.0;2024-11-01;5.8;15543.0;152.0;5.64;5376951.76
354860 SAO BENTO DO SAPUCAI;2024/Nov;36.0;2024-11-01;3.0;107.0;7.0;19.44;17088.71
354870 SAO BERNARDO DO CAMPO;2024/Nov;3178.0;2024-11-01;5.9;18794.0;160.0;5.03;6210073.27
354880 SAO CAETANO DO SUL;2024/Nov;1006.0;2024-11-01;4.0;4012.0;61.0;6.06;1265084.97
354890 SAO CARLOS;2024/Nov;1498.0;2024-11-01;4.2;6325.0;79.0;5.27;2788473.96
354910 SAO JOAO DA BOA VISTA;2024/Nov;467.0;2024-11-01;4.1;1925.0;46.0;9.85;817902.52
354940 SAO JOAQUIM DA BARRA;2024/Nov;228.0;2024-11-01;3.4;778.0;15.0;6.58;267905.37
354970 SAO JOSE DO RIO PARDO;2024/Nov;354.0;2024-11-01;2.9;1041.0;20.0;5.65;326883.57
354980 SAO JOSE DO RIO PRETO;2024/Nov;6780.0;2024-11-01;4.9;33030.0;297.0;4.38;20188203.06
354990 SAO JOSE DOS CAMPOS;2024/Nov;4668.0;2024-11-01;4.8;22481.0;222.0;4.76;9608088.52
355000 SAO LUIS DO PARAITINGA;2024/Nov;11.0;2024-11-01;5.5;60.0;1.0;9.09;3951.94
